Month,Quantity(Kg)
2009-1,379934
2009-2,289147
2009-3,345271
2009-4,634783
2009-5,741528
2009-6,1172770
2009-7,857457
2009-8,522766
2009-9,333481
2009-10,262504
2009-11,324708
2009-12,576583
2010-1,725516
2010-2,392520
2010-3,540539
2010-4,909267
2010-5,863139
2010-6,981373
2010-7,672679
2010-8,320008
2010-9,395519
2010-10,137310
2010-11,160841
2010-12,547837
2011-1,879279
2011-2,1086290
2011-3,848630
2011-4,1425217
2011-5,1601669
2011-6,1447284
2011-7,600358
2011-8,410040
2011-9,487070
2011-10,177297
2011-11,337436
2011-12,764068
2012-1,677507
2012-2,755820
2012-3,658751
2012-4,966088
2012-5,945806
2012-6,487746
2012-7,686908
2012-8,513407
2012-9,594843
2012-10,350151
2012-11,341182
2012-12,603665
2013-1,234737
2013-2,334721
2013-3,358415
2013-4,503869
2013-5,629432
2013-6,577732
2013-7,764279
2013-8,320513
2013-9,847645
2013-10,386300
2013-11,495055
2013-12,367198
2014-1,247574
2014-2,394409
2014-3,383603
2014-4,517198
2014-5,452849
2014-6,294785
2014-7,477718
2014-8,263863
2014-9,473836
2014-10,463883
2014-11,219793
2014-12,555177
2015-1,183935
2015-2,415187
2015-3,352307
2015-4,252572
2015-5,332328
2015-6,520599
2015-7,232833
2015-8,256927
2015-9,115712
2015-10,229236
2015-11,181112
2015-12,619331
2016-1,221551
2016-2,476781
2016-3,632007
2016-4,561189
2016-5,670420
2016-6,437294
2016-7,223959
2016-8,198956
2016-9,230616
2016-10,128478
2016-11,308702
2016-12,539449
2017-1,383675
2017-2,354214
2017-3,644871
2017-4,508780
2017-5,473048
2017-6,336551
2017-7,50135
2017-8,197371
2017-9,235803
2017-10,131540
2017-11,287500
2017-12,261035
2018-1,624415
2018-2,881207
2018-3,952630
2018-4,646094
2018-5,561744
2018-6,497921
2018-7,389783
2018-8,356549
2018-9,310997
2018-10,104823
2018-11,273139
2018-12,485785
