Month,Quantity
2017-07-01,43111161.1106482
2017-08-01,38165172.177269384
2017-09-01,39538342.32005996
2017-10-01,46018340.49266182
2017-11-01,81393009.98328985
2017-12-01,97767463.49768913
2018-01-01,79184819.15311447
2018-02-01,71662983.32911679
2018-03-01,77014072.6105066
2018-04-01,71431790.89808871
2018-05-01,57565695.90379992
2018-06-01,60951295.33244391
2018-07-01,68060242.78208245
2018-08-01,70781232.32202895
2018-09-01,71438514.93779582
2018-10-01,70564563.77501637
2018-11-01,85395313.7938353
2018-12-01,108622177.94904588
2019-01-01,107356841.05710247
2019-02-01,101264045.76639411
2019-03-01,89450296.85420516
2019-04-01,76649131.72910242
2019-05-01,85637229.60019052
2019-06-01,103947181.55347571
2019-07-01,109796852.66834009
2019-08-01,92677111.11411084
2019-09-01,86135582.13942842
2019-10-01,105467411.73359886
2019-11-01,132448965.63134988
2019-12-01,142690123.1255267
2020-01-01,117535360.80978777
2020-02-01,110783256.58119582
2020-03-01,122435507.5456644
2020-04-01,125604248.61137329
2020-05-01,128325437.33617124
2020-06-01,123448753.63325003
2020-07-01,128342748.28277914
2020-08-01,137054653.7905713
2020-09-01,144958501.88347107
2020-10-01,148385384.15266755
2020-11-01,144962303.15557176
2020-12-01,155301227.46681228
2021-01-01,166527991.3160577
2021-02-01,175048179.1446372
2021-03-01,160815611.72185406
2021-04-01,143513821.94264638
2021-05-01,156690891.1330189
2021-06-01,187554250.8760856
2021-07-01,202152007.8073128
2021-08-01,178260317.15718603
2021-09-01,164157763.2173149
2021-10-01,180471157.30614924
2021-11-01,216773128.75155237
2021-12-01,230645323.01373267
2022-01-01,205023804.70225823
2022-02-01,190822821.45078602
2022-03-01,199065114.0058412
2022-04-01,227329917.4946228
2022-05-01,240718849.7395
2022-06-01,229131318.95465866
